"id","code","name","group_id:id","user_type_id:id","reconcile","chart_template_id:id"
"account_template_101010301","1.01.01.03.01","Banco Aplicação","account_group_1010103","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_101010401","1.01.01.04.01","Valores Mobiliários - Mercado de Capitais Interno","account_group_1010104","account.data_account_type_fixed_assets","true","l10n_br_coa_complete_template"
"account_template_101010402","1.01.01.04.02","Valores Mobiliários - Mercado de Capitais Externo","account_group_1010104","account.data_account_type_fixed_assets","true","l10n_br_coa_complete_template"
"account_template_101010501","1.01.01.05.01","Valores Mobiliários - Aplicações de Subvenções","account_group_1010105","account.data_account_type_fixed_assets","true","l10n_br_coa_complete_template"
"account_template_101010601","1.01.01.06.01","Valores Mobiliários - Aplicações de Doações","account_group_1010106","account.data_account_type_fixed_assets","true","l10n_br_coa_complete_template"
"account_template_101010701","1.01.01.07.01","Valores Mobiliários - Aplicações de Outros Recursos Sujeitos a Restrições","account_group_1010107","account.data_account_type_fixed_assets","true","l10n_br_coa_complete_template"
"account_template_101020101","1.01.02.01.01","Mercadorias para Revenda","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020102","1.01.02.01.02","Produtos Acabados","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020103","1.01.02.01.03","Produtos em Elaboração","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020104","1.01.02.01.04","Serviços em Andamento","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020105","1.01.02.01.05","Matérias-Primas (Insumos)","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020106","1.01.02.01.06","Materiais de Embalagem","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020107","1.01.02.01.07","Estoque de Terceiro","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020108","1.01.02.01.08","Estoque em Poder de Terceiro","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020199","1.01.02.01.99","( - ) Transitória - Recebimento Físico/Fiscal","account_group_1010201","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020201","1.01.02.02.01","Importação em Andamento","account_group_1010202","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020301","1.01.02.03.01","Compras para Entrega Futura","account_group_1010203","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020401","1.01.02.04.01","Construções em Andamento de Imóveis Destinados à Venda","account_group_1010204","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020501","1.01.02.05.01","Estoques Destinados à Doação","account_group_1010205","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101020601","1.01.02.06.01","Outras","account_group_1010206","l10n_br_coa.data_account_type_current_assets_stock","false","l10n_br_coa_complete_template"
"account_template_101030101","1.01.03.01.01","Clientes Nacionais","account_group_1010301","account.data_account_type_receivable","true","l10n_br_coa_complete_template"
"account_template_101030102","1.01.03.01.02","Clientes Estrangeiros","account_group_1010301","account.data_account_type_receivable","true","l10n_br_coa_complete_template"
"account_template_101030201","1.01.03.02.01","Adiantamentos a Fornecedores","account_group_1010302","account.data_account_type_receivable","true","l10n_br_coa_complete_template"
"account_template_101030301","1.01.03.03.01","Cheques Recebidos","account_group_1010303","l10n_br_coa.data_account_type_current_assets_other_credits","true","l10n_br_coa_complete_template"
"account_template_101030401","1.01.03.04.01","Visa","account_group_1010304","account.data_account_type_prepayments","true","l10n_br_coa_complete_template"
"account_template_101030402","1.01.03.04.02","Mastercard","account_group_1010304","account.data_account_type_credit_card","true","l10n_br_coa_complete_template"
"account_template_101030403","1.01.03.04.03","American Express","account_group_1010304","account.data_account_type_credit_card","true","l10n_br_coa_complete_template"
"account_template_101030501","1.01.03.05.01","Adiantamentos de Salários","account_group_1010305","account.data_account_type_prepayments","false","l10n_br_coa_complete_template"
"account_template_101030502","1.01.03.05.02","Adiantamentos de Férias","account_group_1010305","account.data_account_type_prepayments","false","l10n_br_coa_complete_template"
"account_template_101030503","1.01.03.05.03","Adiantamentos de 13º Salário","account_group_1010305","account.data_account_type_prepayments","false","l10n_br_coa_complete_template"
"account_template_101030504","1.01.03.05.04","Adiantamentos de Pró-Labore","account_group_1010305","account.data_account_type_prepayments","false","l10n_br_coa_complete_template"
"account_template_101030505","1.01.03.05.05","Adiantamentos para Viagem","account_group_1010305","account.data_account_type_prepayments","false","l10n_br_coa_complete_template"
"account_template_101030601","1.01.03.06.01","ICMS e Contribuições a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030602","1.01.03.06.02","IPI a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030603","1.01.03.06.03","PIS a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030604","1.01.03.06.04","COFINS a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030605","1.01.03.06.05","CSLL a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030606","1.01.03.06.06","Imposto de Renda a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030607","1.01.03.06.07","PIS Retido a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030608","1.01.03.06.08","COFINS Retido a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030609","1.01.03.06.09","CSLL Retido a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030610","1.01.03.06.10","ICMS  sobre Imobilizado","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030611","1.01.03.06.11","PIS sobre Imobilizado","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030612","1.01.03.06.12","COFINS sobre Imobilizado","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030699","1.01.03.06.99","Outros Impostos e Contribuições a Recuperar","account_group_1010306","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030701","1.01.03.07.01","Créditos por Contribuições e Doações","account_group_1010307","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101030801","1.01.03.08.01","Outras","account_group_1010308","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101040101","1.01.04.01.01","Despesas do Exercício Seguinte","account_group_1010401","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101090101","1.01.09.01.01","( - ) Provisões para Créditos de Liquidação Duvidosa","account_group_1010901","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101090102","1.01.09.01.02","( - ) Provisão para Ajuste do Estoque ao Valor de Mercado","account_group_1010901","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101090103","1.01.09.01.03","( - ) Provisões para Ajuste ao Valor Provável de Realização","account_group_1010901","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101090199","1.01.09.01.99","( - ) Outras Contas Retificadoras","account_group_1010901","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_101090201","1.01.09.02.01","( - ) Duplicatas Descontadas - Banco A (criar uma conta para cada conta bancária)","account_group_1010902","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010101","1.02.01.01.01","Aplicação Financeira - Banco A (criar uma conta para cada conta bancária)","account_group_1020101","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010201","1.02.01.02.01","Clientes Nacionais - Longo Prazo","account_group_1020102","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010202","1.02.01.02.02","Clientes Estrangeiros - Longo Prazo","account_group_1020102","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010301","1.02.01.03.01","Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa","account_group_1020103","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010302","1.02.01.03.02","Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais","account_group_1020103","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010401","1.02.01.04.01","Valores Mobiliários","account_group_1020104","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010402","1.02.01.04.02","Depósitos Judiciais","account_group_1020104","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010403","1.02.01.04.03","Créditos por Contribuições e Doações","account_group_1020104","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010501","1.02.01.05.01","( - ) Provisões para Créditos de Liquidação Duvidosa","account_group_1020105","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010502","1.02.01.05.02","( - ) Provisões para Ajuste ao Valor Provável de Realização","account_group_1020105","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010599","1.02.01.05.99","( - ) Outras Contas Retificadoras","account_group_1020105","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010601","1.02.01.06.01","( - ) Duplicatas Descontadas - Banco A (criar uma conta para cada conta bancária)","account_group_1020106","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010701","1.02.01.07.01","ICMS  sobre Imobilizado","account_group_1020107","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010702","1.02.01.07.02","PIS sobre Imobilizado","account_group_1020107","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102010703","1.02.01.07.03","COFINS sobre Imobilizado","account_group_1020107","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020101","1.02.02.01.01","Consórcio Simples","account_group_1020201","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020102","1.02.02.01.02","Cooperativa de Crédito","account_group_1020201","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020201","1.02.02.02.01","Investimentos Decorrentes de Incentivos Fiscais","account_group_1020202","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020202","1.02.02.02.02","Ágios em Investimentos","account_group_1020202","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020203","1.02.02.02.03","Correção Monetária - Diferença IPC/BTNF","account_group_1020202","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020204","1.02.02.02.04","Correção Monetária Especial","account_group_1020202","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102020205","1.02.02.02.05","( - ) Deságios e Provisão para Perdas Prováveis em Investimentos","account_group_1020202","account.data_account_type_current_assets","false","l10n_br_coa_complete_template"
"account_template_102030101","1.02.03.01.01","Edificações e Benfeitorias em Imóveis Próprios","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030102","1.02.03.01.02","Edificações e Benfeitorias em Imóveis de Terceiros","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030103","1.02.03.01.03","Instalações","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030104","1.02.03.01.04","Máquinas","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030105","1.02.03.01.05","Equipamentos","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030106","1.02.03.01.06","Veículos","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030107","1.02.03.01.07","Móveis, Utensílios e Instalações Comerciais","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030108","1.02.03.01.08","Terrenos","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030109","1.02.03.01.09","Construções em Andamento","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030199","1.02.03.01.99","Outros","account_group_1020301","account.data_account_type_fixed_assets","false","l10n_br_coa_complete_template"
"account_template_102030201","1.02.03.02.01","Compensação na Aquisição de Ativo Imobilizado","account_group_1020302","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030301","1.02.03.03.01","( - ) Edificações e Benfeitorias em Imóveis Próprios","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030302","1.02.03.03.02","( - ) Edificações e Benfeitorias em Imóveis de Terceiros","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030303","1.02.03.03.03","( - ) Instalações","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030304","1.02.03.03.04","( - ) Máquinas","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030305","1.02.03.03.05","( - ) Equipamentos","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030306","1.02.03.03.06","( - ) Veículos","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030307","1.02.03.03.07","( - ) Móveis, Utensílios e Instalações Comerciais","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030399","1.02.03.03.99","( - ) Outros","account_group_1020303","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030401","1.02.03.04.01","( - ) Edificações e Benfeitorias em Imóveis Próprios","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030402","1.02.03.04.02","( - ) Edificações e Benfeitorias em Imóveis de Terceiros","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030403","1.02.03.04.03","( - ) Instalações","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030404","1.02.03.04.04","( - ) Máquinas","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030405","1.02.03.04.05","( - ) Equipamentos","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030406","1.02.03.04.06","( - ) Veículos","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030407","1.02.03.04.07","( - ) Móveis, Utensílios e Instalações Comerciais","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030499","1.02.03.04.99","( - ) Outros","account_group_1020304","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030501","1.02.03.05.01","( - ) Edificações e Benfeitorias em Imóveis Próprios","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030502","1.02.03.05.02","( - ) Edificações e Benfeitorias em Imóveis de Terceiros","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030503","1.02.03.05.03","( - ) Instalações","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030504","1.02.03.05.04","( - ) Máquinas","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030505","1.02.03.05.05","( - ) Equipamentos","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030506","1.02.03.05.06","( - ) Veículos","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030507","1.02.03.05.07","( - ) Móveis, Utensílios e Instalações Comerciais","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102030599","1.02.03.05.99","( - ) Outros","account_group_1020305","account.data_account_type_depreciation","false","l10n_br_coa_complete_template"
"account_template_102040101","1.02.04.01.01","Concessões","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040102","1.02.04.01.02","Marcas e Patentes","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040103","1.02.04.01.03","Direitos Autorais","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040104","1.02.04.01.04","Fundo de Comércio","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040105","1.02.04.01.05","Software ou Programas de Computador","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040106","1.02.04.01.06","Franquias","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040107","1.02.04.01.07","Desenvolvimento de Produtos","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040199","1.02.04.01.99","Outras","account_group_1020401","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102040201","1.02.04.02.01","( - ) Outras Contas Redutoras do Intangível","account_group_1020402","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102050101","1.02.05.01.01","Despesas Pré-Operacionais ou Pré-Industriais","account_group_1020501","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102050102","1.02.05.01.02","Despesas com Pesquisas Científicas ou Tecnológicas","account_group_1020501","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102050103","1.02.05.01.03","Demais Aplicações em Despesas Amortizáveis","account_group_1020501","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_102050201","1.02.05.02.01","( - ) Amortização do Diferido","account_group_1020502","l10n_br_coa.data_account_type_intangible_assets","false","l10n_br_coa_complete_template"
"account_template_201010101","2.01.01.01.01","Fornecedores Nacionais","account_group_2010101","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010102","2.01.01.01.02","Fornecedores Estrangeiros","account_group_2010101","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010201","2.01.01.02.01","Adiantamentos de Clientes","account_group_2010102","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010301","2.01.01.03.01","Financiamentos a Curto Prazo - Sistema Financeiro Nacional","account_group_2010103","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010302","2.01.01.03.02","Financiamentos a Curto Prazo - Exterior","account_group_2010103","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010303","2.01.01.03.03","Financiamentos a Curto Prazo - Outros","account_group_2010103","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010304","2.01.01.03.04","Arrendamento Mercantil (Financeiro) a Curto Prazo - Sistema Financeiro Nacional","account_group_2010103","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010305","2.01.01.03.05","Arrendamento Mercantil (Financeiro) a Curto Prazo - Exterior","account_group_2010103","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010401","2.01.01.04.01","Cheques a Compensar - Banco A (criar uma conta para cada conta bancária)","account_group_2010104","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010501","2.01.01.05.01","ICMS e Contribuições a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010502","2.01.01.05.02","IPI a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010503","2.01.01.05.03","PIS a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010504","2.01.01.05.04","COFINS a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010505","2.01.01.05.05","CSLL a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010506","2.01.01.05.06","IRPJ a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010507","2.01.01.05.07","ISS a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010508","2.01.01.05.08","Taxas Municipais","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010509","2.01.01.05.09","Contribuições","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010599","2.01.01.05.99","Outros Impostos e Contribuições a Recolher","account_group_2010105","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010601","2.01.01.06.01","Contribuição Assistencial - Empregados","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010602","2.01.01.06.02","Contribuição Sindical - Empregados","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010603","2.01.01.06.03","Contribuições Federais Retidas","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010604","2.01.01.06.04","INSS Retido","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010605","2.01.01.06.05","IRRF Sobre Aluguel","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010606","2.01.01.06.06","IRRF Sobre Folha de Pagamento","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010607","2.01.01.06.07","IRRF Sobre Nota Fiscal","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010608","2.01.01.06.08","ISS Retido","account_group_2010106","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010701","2.01.01.07.01","FGTS a Recolher","account_group_2010107","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010702","2.01.01.07.02","Contribuições Previdenciárias a Recolher","account_group_2010107","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010703","2.01.01.07.03","Contribuição Sindical a Recolher","account_group_2010107","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010801","2.01.01.08.01","Salários a Pagar","account_group_2010108","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010802","2.01.01.08.02","Pró-Labore a Pagar","account_group_2010108","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010803","2.01.01.08.03","Férias a Pagar","account_group_2010108","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010804","2.01.01.08.04","13º Salário a Pagar","account_group_2010108","account.data_account_type_payable","true","l10n_br_coa_complete_template"
"account_template_201010901","2.01.01.09.01","Provisão de 13º Salário","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201010902","2.01.01.09.02","Provisão de Férias","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201010903","2.01.01.09.03","Provisão de FGTS s/13º Salário","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201010904","2.01.01.09.04","Provisão de FGTS s/Férias","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201010905","2.01.01.09.05","Provisão de INSS s/13º Salário","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201010906","2.01.01.09.06","Provisão de INSS s/Férias","account_group_2010109","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201011001","2.01.01.10.01","Provisão para a Contribuição Social sobre o Lucro Líquido","account_group_2010110","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201011002","2.01.01.10.02","Provisão para o Imposto de Renda","account_group_2010110","l10n_br_coa.data_account_type_current_liabilities_reserve","false","l10n_br_coa_complete_template"
"account_template_201011101","2.01.01.11.01","Água e Esgoto a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011102","2.01.01.11.02","Aluguéis a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011103","2.01.01.11.03","Assinaturas de Periódicos a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011104","2.01.01.11.04","Doações a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011105","2.01.01.11.05","Energia Elétrica a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011106","2.01.01.11.06","Pensão Alimenticia a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011107","2.01.01.11.07","Seguros a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_201011108","2.01.01.11.08","Telefone a Pagar","account_group_2010111","l10n_br_coa.data_account_type_current_liabilities","false","l10n_br_coa_complete_template"
"account_template_202010101","2.02.01.01.01","Fornecedores a Longo Prazo","account_group_2020101","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010201","2.02.01.02.01","Financiamentos a Longo Prazo - Sistema Financeiro Nacional","account_group_2020102","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010202","2.02.01.02.02","Financiamentos a Longo Prazo - Exterior","account_group_2020102","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010203","2.02.01.02.03","Financiamentos a Longo Prazo - Outros","account_group_2020102","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010204","2.02.01.02.04","Arrendamento Mercantil (Financeiro) a Longo Prazo - Sistema Financeiro Nacional","account_group_2020102","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010205","2.02.01.02.05","Arrendamento Mercantil (Financeiro) a Longo Prazo - Exterior","account_group_2020102","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010301","2.02.01.03.01","Leasing a Longo Prazo","account_group_2020103","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010401","2.02.01.04.01","Impostos - Parcelamento","account_group_2020104","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010501","2.02.01.05.01","Débitos Fiscais CSLL - Diferenças Temporárias","account_group_2020105","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202010502","2.02.01.05.02","Débitos Fiscais IRPJ - Diferenças Temporárias","account_group_2020105","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
"account_template_202020101","2.02.02.01.01","Receitas Diferidas","account_group_2020201","l10n_br_coa.data_account_type_non_current_liabilities_loan","false","l10n_br_coa_complete_template"
