"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_65578000,"l10n_br_base.br_ma","65578000","","","","l10n_br_base.city_452"
cep_65505000,"l10n_br_base.br_ma","65505000","","","","l10n_br_base.city_451"
cep_65310000,"l10n_br_base.br_ma","65310000","","","","l10n_br_base.city_455"
cep_65930000,"l10n_br_base.br_ma","65930000","","","","l10n_br_base.city_450"
cep_65250000,"l10n_br_base.br_ma","65250000","","","","l10n_br_base.city_453"
cep_65610000,"l10n_br_base.br_ma","65610000","","","","l10n_br_base.city_454"
cep_65103000,"l10n_br_base.br_ma","65103000","","","","l10n_br_base.city_470"
cep_65275000,"l10n_br_base.br_ma","65275000","","","","l10n_br_base.city_463"
cep_65660000,"l10n_br_base.br_ma","65660000","","","","l10n_br_base.city_474"
cep_65700000,"l10n_br_base.br_ma","65700000","","","","l10n_br_base.city_469"
cep_65270000,"l10n_br_base.br_ma","65270000","","","","l10n_br_base.city_471"
cep_65704000,"l10n_br_base.br_ma","65704000","","","","l10n_br_base.city_485"
cep_65945000,"l10n_br_base.br_ma","65945000","","","","l10n_br_base.city_466"
cep_65723000,"l10n_br_base.br_ma","65723000","","","","l10n_br_base.city_481"
cep_65292000,"l10n_br_base.br_ma","65292000","","","","l10n_br_base.city_482"
cep_65480000,"l10n_br_base.br_ma","65480000","","","","l10n_br_base.city_467"
cep_65490000,"l10n_br_base.br_ma","65490000","","","","l10n_br_base.city_461"
cep_65520000,"l10n_br_base.br_ma","65520000","","","","l10n_br_base.city_486"
cep_65590000,"l10n_br_base.br_ma","65590000","","","","l10n_br_base.city_476"
cep_65248000,"l10n_br_base.br_ma","65248000","","","","l10n_br_base.city_480"
cep_65525000,"l10n_br_base.br_ma","65525000","","","","l10n_br_base.city_462"
cep_65108000,"l10n_br_base.br_ma","65108000","","","","l10n_br_base.city_468"
cep_65315000,"l10n_br_base.br_ma","65315000","","","","l10n_br_base.city_487"
cep_65885000,"l10n_br_base.br_ma","65885000","","","","l10n_br_base.city_479"
cep_65515000,"l10n_br_base.br_ma","65515000","","","","l10n_br_base.city_488"
cep_65413000,"l10n_br_base.br_ma","65413000","","","","l10n_br_base.city_456"
cep_65923000,"l10n_br_base.br_ma","65923000","","","","l10n_br_base.city_460"
cep_65950000,"l10n_br_base.br_ma","65950000","","","","l10n_br_base.city_475"
cep_65293000,"l10n_br_base.br_ma","65293000","","","","l10n_br_base.city_459"
cep_65810000,"l10n_br_base.br_ma","65810000","","","","l10n_br_base.city_458"
cep_65535000,"l10n_br_base.br_ma","65535000","","","","l10n_br_base.city_477"
cep_65380000,"l10n_br_base.br_ma","65380000","","","","l10n_br_base.city_483"
cep_65398000,"l10n_br_base.br_ma","65398000","","","","l10n_br_base.city_457"
cep_65368000,"l10n_br_base.br_ma","65368000","","","","l10n_br_base.city_464"
cep_65800000,"l10n_br_base.br_ma","65800000","","","","l10n_br_base.city_473"
cep_65233000,"l10n_br_base.br_ma","65233000","","","","l10n_br_base.city_472"
cep_65395000,"l10n_br_base.br_ma","65395000","","","","l10n_br_base.city_484"
cep_65335000,"l10n_br_base.br_ma","65335000","","","","l10n_br_base.city_478"
cep_65363000,"l10n_br_base.br_ma","65363000","","","","l10n_br_base.city_530"
cep_65284000,"l10n_br_base.br_ma","65284000","","","","l10n_br_base.city_531"
cep_65943000,"l10n_br_base.br_ma","65943000","","","","l10n_br_base.city_521"
cep_65964000,"l10n_br_base.br_ma","65964000","","","","l10n_br_base.city_520"
cep_65975000,"l10n_br_base.br_ma","65975000","","","","l10n_br_base.city_518"
cep_65940000,"l10n_br_base.br_ma","65940000","","","","l10n_br_base.city_533"
cep_65995000,"l10n_br_base.br_ma","65995000","","","","l10n_br_base.city_519"
cep_65765000,"l10n_br_base.br_ma","65765000","","","","l10n_br_base.city_515"
cep_65750000,"l10n_br_base.br_ma","65750000","","","","l10n_br_base.city_517"
cep_65625000,"l10n_br_base.br_ma","65625000","","","","l10n_br_base.city_516"
cep_65927000,"l10n_br_base.br_ma","65927000","","","","l10n_br_base.city_514"
cep_65785000,"l10n_br_base.br_ma","65785000","","","","l10n_br_base.city_532"
cep_65795000,"l10n_br_base.br_ma","65795000","","","","l10n_br_base.city_529"
cep_65780000,"l10n_br_base.br_ma","65780000","","","","l10n_br_base.city_528"
cep_65770000,"l10n_br_base.br_ma","65770000","","","","l10n_br_base.city_526"
cep_65775000,"l10n_br_base.br_ma","65775000","","","","l10n_br_base.city_525"
cep_65285000,"l10n_br_base.br_ma","65285000","","","","l10n_br_base.city_524"
cep_65695000,"l10n_br_base.br_ma","65695000","","","","l10n_br_base.city_523"
cep_65805000,"l10n_br_base.br_ma","65805000","","","","l10n_br_base.city_522"
cep_65268000,"l10n_br_base.br_ma","65268000","","","","l10n_br_base.city_513"
cep_65907040,"l10n_br_base.br_ma","65907040","Santo Cristo","Rua","Nova Imperatriz","l10n_br_base.city_539"
cep_65916490,"l10n_br_base.br_ma","65916490","Hum","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65919210,"l10n_br_base.br_ma","65919210","Tomé de Souza","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919200,"l10n_br_base.br_ma","65919200","Nicolau Dino","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919190,"l10n_br_base.br_ma","65919190","Miguel Baury","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919180,"l10n_br_base.br_ma","65919180","Sergipe","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917150,"l10n_br_base.br_ma","65917150","Dezesseis de Julho","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919300,"l10n_br_base.br_ma","65919300","São Joaquim","Rua","Santa Inês","l10n_br_base.city_539"
cep_65916440,"l10n_br_base.br_ma","65916440","Dezenove","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916580,"l10n_br_base.br_ma","65916580","Treze","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916570,"l10n_br_base.br_ma","65916570","Onze","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916560,"l10n_br_base.br_ma","65916560","Dez","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916550,"l10n_br_base.br_ma","65916550","Nove","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916540,"l10n_br_base.br_ma","65916540","Oito","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916530,"l10n_br_base.br_ma","65916530","Cinco","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916350,"l10n_br_base.br_ma","65916350","Cinco","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916430,"l10n_br_base.br_ma","65916430","Dezoito","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65917280,"l10n_br_base.br_ma","65917280","W-05","Rua","Santa Rita","l10n_br_base.city_539"
cep_65916370,"l10n_br_base.br_ma","65916370","Nove","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916380,"l10n_br_base.br_ma","65916380","Dez","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916390,"l10n_br_base.br_ma","65916390","Onze","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916400,"l10n_br_base.br_ma","65916400","Treze","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916520,"l10n_br_base.br_ma","65916520","Quatro","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916420,"l10n_br_base.br_ma","65916420","Dezesseis","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916510,"l10n_br_base.br_ma","65916510","Três","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916610,"l10n_br_base.br_ma","65916610","Dezenove","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916450,"l10n_br_base.br_ma","65916450","Vinte","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65917170,"l10n_br_base.br_ma","65917170","Brigadeiro Eduardo Gomes","Rua","Santa Rita","l10n_br_base.city_539"
cep_65916470,"l10n_br_base.br_ma","65916470","Hum","Travessa","Parque do Buriti","l10n_br_base.city_539"
cep_65916480,"l10n_br_base.br_ma","65916480","Dois","Travessa","Parque do Buriti","l10n_br_base.city_539"
cep_65919240,"l10n_br_base.br_ma","65919240","Dona Isabel Cafeteira","Conjunto","Santa Rita","l10n_br_base.city_539"
cep_65916410,"l10n_br_base.br_ma","65916410","Quinze","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65917210,"l10n_br_base.br_ma","65917210","Teotônio Vilela","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919220,"l10n_br_base.br_ma","65919220","G","Rua","Santa Rita","l10n_br_base.city_539"
cep_65906010,"l10n_br_base.br_ma","65906010","W1","Rua","Imigrantes","l10n_br_base.city_539"
cep_65919280,"l10n_br_base.br_ma","65919280","da Sombra","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919000,"l10n_br_base.br_ma","65919000","Bom Jesus","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917180,"l10n_br_base.br_ma","65917180","Santa Rita","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919555,"l10n_br_base.br_ma","65919555","Pedro Neiva de Santana","Avenida","João Paulo II","l10n_br_base.city_539"
cep_65917200,"l10n_br_base.br_ma","65917200","Boa Esperança","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919551,"l10n_br_base.br_ma","65919551","Alfa","Rua","João Paulo II","l10n_br_base.city_539"
cep_65917220,"l10n_br_base.br_ma","65917220","BR-010","Rodovia","Santa Rita","l10n_br_base.city_539"
cep_65917230,"l10n_br_base.br_ma","65917230","Tupi","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917240,"l10n_br_base.br_ma","65917240","W-01","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917250,"l10n_br_base.br_ma","65917250","W-02","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917260,"l10n_br_base.br_ma","65917260","W-03","Rua","Santa Rita","l10n_br_base.city_539"
cep_65901380,"l10n_br_base.br_ma","65901380","José Bonifácio","Rua","Mercadinho","l10n_br_base.city_539"
cep_65917190,"l10n_br_base.br_ma","65917190","Bom Jardim","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919310,"l10n_br_base.br_ma","65919310","São Raimundo","Rua","Santa Inês","l10n_br_base.city_539"
cep_65916340,"l10n_br_base.br_ma","65916340","Quatro","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65919250,"l10n_br_base.br_ma","65919250","Vilas Boas","Conjunto","Santa Rita","l10n_br_base.city_539"
cep_65919260,"l10n_br_base.br_ma","65919260","Nordeste","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919270,"l10n_br_base.br_ma","65919270","da Paz","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919160,"l10n_br_base.br_ma","65919160","Pernambuco","Rua","Santa Rita","l10n_br_base.city_539"
cep_65912100,"l10n_br_base.br_ma","65912100","São Sebastião","Avenida","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65919150,"l10n_br_base.br_ma","65919150","Paraíba","Rua","Santa Rita","l10n_br_base.city_539"
cep_65919230,"l10n_br_base.br_ma","65919230","Industrial","Avenida","Santa Rita","l10n_br_base.city_539"
cep_65919320,"l10n_br_base.br_ma","65919320","Nova","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919330,"l10n_br_base.br_ma","65919330","Sete de Setembro","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919340,"l10n_br_base.br_ma","65919340","Tocantins","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919350,"l10n_br_base.br_ma","65919350","Portuguesa","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919360,"l10n_br_base.br_ma","65919360","Nossa Senhora da Aparecida","Rua","Santa Inês","l10n_br_base.city_539"
cep_65919500,"l10n_br_base.br_ma","65919500","Aganabi","Rua","Parque Alvorada","l10n_br_base.city_539"
cep_65919290,"l10n_br_base.br_ma","65919290","União","Rua","Santa Inês","l10n_br_base.city_539"
cep_65901330,"l10n_br_base.br_ma","65901330","Bahia","Rua","Três Poderes","l10n_br_base.city_539"
cep_65901480,"l10n_br_base.br_ma","65901480","Godofredo Viana","Rua","Centro","l10n_br_base.city_539"
cep_65901490,"l10n_br_base.br_ma","65901490","Simplício Moreira","Rua","Centro","l10n_br_base.city_539"
cep_65901500,"l10n_br_base.br_ma","65901500","Coriolano Milhomem","Rua","Bacuri","l10n_br_base.city_539"
cep_65901520,"l10n_br_base.br_ma","65901520","Amazonas","Rua","Centro","l10n_br_base.city_539"
cep_65901550,"l10n_br_base.br_ma","65901550","Getúlio Vargas","Avenida","Centro","l10n_br_base.city_539"
cep_65901430,"l10n_br_base.br_ma","65901430","Luís Domingues","Rua","Centro","l10n_br_base.city_539"
cep_65901590,"l10n_br_base.br_ma","65901590","Maranhão","Rua","Centro","l10n_br_base.city_539"
cep_65901420,"l10n_br_base.br_ma","65901420","Bandeirantes","Rua","Bacuri","l10n_br_base.city_539"
cep_65901610,"l10n_br_base.br_ma","65901610","Ceará","Rua","Centro","l10n_br_base.city_539"
cep_65901620,"l10n_br_base.br_ma","65901620","Rio Grande do Norte","Rua","Centro","l10n_br_base.city_539"
cep_65903000,"l10n_br_base.br_ma","65903000","Sergipe","Rua","Três Poderes","l10n_br_base.city_539"
cep_65903020,"l10n_br_base.br_ma","65903020","Minas Gerais","Rua","Três Poderes","l10n_br_base.city_539"
cep_65903030,"l10n_br_base.br_ma","65903030","Rio de Janeiro","Rua","Entroncamento","l10n_br_base.city_539"
cep_65916360,"l10n_br_base.br_ma","65916360","Oito","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65901290,"l10n_br_base.br_ma","65901290","Paraíba","Rua","Mercadinho","l10n_br_base.city_539"
cep_65907060,"l10n_br_base.br_ma","65907060","São João","Rua","Nova Imperatriz","l10n_br_base.city_539"
cep_65901360,"l10n_br_base.br_ma","65901360","Tamandaré","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901350,"l10n_br_base.br_ma","65901350","Monte Castelo","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901340,"l10n_br_base.br_ma","65901340","Aquiles Lisboa","Rua","Mercadinho","l10n_br_base.city_539"
cep_65903070,"l10n_br_base.br_ma","65903070","Paraná","Rua","Maranhão Novo","l10n_br_base.city_539"
cep_65903040,"l10n_br_base.br_ma","65903040","Guanabara","Rua","Três Poderes","l10n_br_base.city_539"
cep_65901450,"l10n_br_base.br_ma","65901450","Getúlio Vargas","Avenida","Centro","l10n_br_base.city_539"
cep_65901580,"l10n_br_base.br_ma","65901580","Pará","Rua","Centro","l10n_br_base.city_539"
cep_65901280,"l10n_br_base.br_ma","65901280","Rio Grande do Norte","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901270,"l10n_br_base.br_ma","65901270","Estreita","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901260,"l10n_br_base.br_ma","65901260","Ceará","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901250,"l10n_br_base.br_ma","65901250","Piauí","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901240,"l10n_br_base.br_ma","65901240","Maranhão","Rua","Mercadinho","l10n_br_base.city_539"
cep_65901600,"l10n_br_base.br_ma","65901600","Piauí","Rua","Centro","l10n_br_base.city_539"
cep_65901320,"l10n_br_base.br_ma","65901320","Sergipe","Rua","Mercadinho","l10n_br_base.city_539"
cep_65917120,"l10n_br_base.br_ma","65917120","Conselheiro Francisco Parma","Rua","Santa Rita","l10n_br_base.city_539"
cep_65901470,"l10n_br_base.br_ma","65901470","Aquiles Lisboa","Rua","Centro","l10n_br_base.city_539"
cep_65917060,"l10n_br_base.br_ma","65917060","C","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917070,"l10n_br_base.br_ma","65917070","B","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917080,"l10n_br_base.br_ma","65917080","D","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917090,"l10n_br_base.br_ma","65917090","Bom Jesus","Rua","Boca da Mata","l10n_br_base.city_539"
cep_65916590,"l10n_br_base.br_ma","65916590","Dezesseis","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65917110,"l10n_br_base.br_ma","65917110","José de Alencar","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917030,"l10n_br_base.br_ma","65917030","Conselheiro Francisco Coelho","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917130,"l10n_br_base.br_ma","65917130","João Meneses de Santana","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917140,"l10n_br_base.br_ma","65917140","Bila Dutra","Rua","Boca da Mata","l10n_br_base.city_539"
cep_65916320,"l10n_br_base.br_ma","65916320","Dois","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65917020,"l10n_br_base.br_ma","65917020","JK","Avenida","Santa Rita","l10n_br_base.city_539"
cep_65916460,"l10n_br_base.br_ma","65916460","Vinte e Três","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916330,"l10n_br_base.br_ma","65916330","Três","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65917100,"l10n_br_base.br_ma","65917100","Santa Isabel","Rua","Santa Rita","l10n_br_base.city_539"
cep_65916660,"l10n_br_base.br_ma","65916660","Copacabana","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65919170,"l10n_br_base.br_ma","65919170","Alagoas","Rua","Juçara","l10n_br_base.city_539"
cep_65917040,"l10n_br_base.br_ma","65917040","Gomes de Souza","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917160,"l10n_br_base.br_ma","65917160","Petrônio Portela","Rua","Santa Rita","l10n_br_base.city_539"
cep_65916620,"l10n_br_base.br_ma","65916620","Vinte","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916630,"l10n_br_base.br_ma","65916630","Vinte e Três","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65917050,"l10n_br_base.br_ma","65917050","Ary Barroso","Rua","Santa Rita","l10n_br_base.city_539"
cep_65916650,"l10n_br_base.br_ma","65916650","Difiuri","Conjunto","Parque do Buriti","l10n_br_base.city_539"
cep_65905010,"l10n_br_base.br_ma","65905010","Vereda Tropical","Conjunto","Bom Sucesso","l10n_br_base.city_539"
cep_65916670,"l10n_br_base.br_ma","65916670","Cartier","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916680,"l10n_br_base.br_ma","65916680","Vilela","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916690,"l10n_br_base.br_ma","65916690","Aluízio Azevedo","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65917000,"l10n_br_base.br_ma","65917000","São João","Rua","Santa Rita","l10n_br_base.city_539"
cep_65917010,"l10n_br_base.br_ma","65917010","Alagoas","Rua","Nova Imperatriz","l10n_br_base.city_539"
cep_65916600,"l10n_br_base.br_ma","65916600","Dezoito","Rua","Santa Luzia","l10n_br_base.city_539"
cep_65916640,"l10n_br_base.br_ma","65916640","Salinópolis","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916100,"l10n_br_base.br_ma","65916100","Beta","Rua","Bacuri","l10n_br_base.city_539"
cep_65916260,"l10n_br_base.br_ma","65916260","do Oratório","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65912270,"l10n_br_base.br_ma","65912270","Gonçalves Dias","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65913250,"l10n_br_base.br_ma","65913250","São Marcos","Rua","Jardim Oriental","l10n_br_base.city_539"
cep_65916250,"l10n_br_base.br_ma","65916250","do Alecrim","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65916240,"l10n_br_base.br_ma","65916240","Anhangüera","Parque","Parque Anhangüera","l10n_br_base.city_539"
cep_65916230,"l10n_br_base.br_ma","65916230","Visconde de Mauá","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65916220,"l10n_br_base.br_ma","65916220","dos Almirantes","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65916210,"l10n_br_base.br_ma","65916210","Atalaia","Conjunto","Bacuri","l10n_br_base.city_539"
cep_65916160,"l10n_br_base.br_ma","65916160","Ubirajara","Rua","Bacuri","l10n_br_base.city_539"
cep_65916190,"l10n_br_base.br_ma","65916190","Duque de Caxias","Rua","Bacuri","l10n_br_base.city_539"
cep_65916040,"l10n_br_base.br_ma","65916040","Dom Pedro I","Rua","Bacuri","l10n_br_base.city_539"
cep_65916150,"l10n_br_base.br_ma","65916150","General Gurjão","Rua","Bacuri","l10n_br_base.city_539"
cep_65916140,"l10n_br_base.br_ma","65916140","Gregório de Matos","Rua","Bacuri","l10n_br_base.city_539"
cep_65912310,"l10n_br_base.br_ma","65912310","São Simão","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65916050,"l10n_br_base.br_ma","65916050","Projetada A","Rua","Bacuri","l10n_br_base.city_539"
cep_65917270,"l10n_br_base.br_ma","65917270","W-04","Rua","Santa Rita","l10n_br_base.city_539"
cep_65912330,"l10n_br_base.br_ma","65912330","Paulo Afonso","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65912340,"l10n_br_base.br_ma","65912340","Itaipu","Avenida","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65912350,"l10n_br_base.br_ma","65912350","Jupiá","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65912290,"l10n_br_base.br_ma","65912290","Humberto de Campos","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65916120,"l10n_br_base.br_ma","65916120","Projetada C","Rua","Bacuri","l10n_br_base.city_539"
cep_65916200,"l10n_br_base.br_ma","65916200","João Pessoa","Rua","Bacuri","l10n_br_base.city_539"
cep_65916110,"l10n_br_base.br_ma","65916110","Presidente Dutra","Rua","Bacuri","l10n_br_base.city_539"
cep_65916055,"l10n_br_base.br_ma","65916055","Projetada II","Rua","Bacuri","l10n_br_base.city_539"
cep_65916060,"l10n_br_base.br_ma","65916060","Dom João VI","Rua","Bacuri","l10n_br_base.city_539"
cep_65916070,"l10n_br_base.br_ma","65916070","Alvorada","Rua","Bacuri","l10n_br_base.city_539"
cep_65916080,"l10n_br_base.br_ma","65916080","Ernesto Geisel","Rua","Parque do Buriti","l10n_br_base.city_539"
cep_65916090,"l10n_br_base.br_ma","65916090","Castelo Branco","Rua","Bacuri","l10n_br_base.city_539"
cep_65916280,"l10n_br_base.br_ma","65916280","Dom Pedro II","Rua","Bacuri","l10n_br_base.city_539"
cep_65912200,"l10n_br_base.br_ma","65912200","Bandeirantes","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65913360,"l10n_br_base.br_ma","65913360","dos Esportes","Rua","Morada do Sol","l10n_br_base.city_539"
cep_65916290,"l10n_br_base.br_ma","65916290","Perimetral Castelo Branco","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65913320,"l10n_br_base.br_ma","65913320","Quatro","Rua","Super Quadra 602","l10n_br_base.city_539"
cep_65915000,"l10n_br_base.br_ma","65915000","Bacuri","Conjunto","Conjunto Nova Vitória I","l10n_br_base.city_539"
cep_65916020,"l10n_br_base.br_ma","65916020","Coronel Manoel Bandeira","Rua","Bacuri","l10n_br_base.city_539"
cep_65916010,"l10n_br_base.br_ma","65916010","Godofredo Viana","Rua","Bacuri","l10n_br_base.city_539"
cep_65913310,"l10n_br_base.br_ma","65913310","Três","Rua","Super Quadra 602","l10n_br_base.city_539"
cep_65915020,"l10n_br_base.br_ma","65915020","Coletora 3","Rua","Conjunto Vitória","l10n_br_base.city_539"
cep_65913290,"l10n_br_base.br_ma","65913290","Raul Mariano","Avenida","Super Quadra 602","l10n_br_base.city_539"
cep_65915010,"l10n_br_base.br_ma","65915010","Coletora 2","Rua","Conjunto Vitória","l10n_br_base.city_539"
cep_65913450,"l10n_br_base.br_ma","65913450","Dom Vital","Rua","Entroncamento","l10n_br_base.city_539"
cep_65913410,"l10n_br_base.br_ma","65913410","BR-010","Rodovia","Morada do Sol","l10n_br_base.city_539"
cep_65913440,"l10n_br_base.br_ma","65913440","Albano","Rua","Entroncamento","l10n_br_base.city_539"
cep_65948000,"l10n_br_base.br_ma","65948000","","","","l10n_br_base.city_540"
cep_65485000,"l10n_br_base.br_ma","65485000","","","","l10n_br_base.city_541"
cep_65915030,"l10n_br_base.br_ma","65915030","Hum","Rua","Conjunto Vitória","l10n_br_base.city_539"
cep_65913330,"l10n_br_base.br_ma","65913330","Seis","Rua","Super Quadra 602","l10n_br_base.city_539"
cep_65912300,"l10n_br_base.br_ma","65912300","Mármore","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65916170,"l10n_br_base.br_ma","65916170","Oswaldo Cruz","Rua","Bacuri","l10n_br_base.city_539"
cep_65913270,"l10n_br_base.br_ma","65913270","Riachuelo","Rua","Jardim Oriental","l10n_br_base.city_539"
cep_65913390,"l10n_br_base.br_ma","65913390","Curitiba","Rua","Morada do Sol","l10n_br_base.city_539"
cep_65913370,"l10n_br_base.br_ma","65913370","Campo Mourão","Rua","Morada do Sol","l10n_br_base.city_539"
cep_65913300,"l10n_br_base.br_ma","65913300","Hum","Rua","Super Quadra 602","l10n_br_base.city_539"
cep_65913340,"l10n_br_base.br_ma","65913340","Dezessete","Rua","Super Quadra 602","l10n_br_base.city_539"
cep_65916270,"l10n_br_base.br_ma","65916270","Heráclito Graça","Rua","Parque Anhangüera","l10n_br_base.city_539"
cep_65913400,"l10n_br_base.br_ma","65913400","da Liberdade","Avenida","Morada do Sol","l10n_br_base.city_539"
cep_65913260,"l10n_br_base.br_ma","65913260","da Paz","Rua","Jardim Oriental","l10n_br_base.city_539"
cep_65913380,"l10n_br_base.br_ma","65913380","Araponga","Rua","Morada do Sol","l10n_br_base.city_539"
cep_65916030,"l10n_br_base.br_ma","65916030","Seis","Travessa","Parque do Buriti","l10n_br_base.city_539"
cep_65913280,"l10n_br_base.br_ma","65913280","D","Rua","Jardim Oriental","l10n_br_base.city_539"
cep_65916180,"l10n_br_base.br_ma","65916180","Rio Branco","Rua","Bacuri","l10n_br_base.city_539"
cep_65913350,"l10n_br_base.br_ma","65913350","do Sol","Rua","Morada do Sol","l10n_br_base.city_539"
cep_65917290,"l10n_br_base.br_ma","65917290","W-06A","Rua","Santa Rita","l10n_br_base.city_539"
cep_65912360,"l10n_br_base.br_ma","65912360","Grande","Rua","Parque Santa Lúcia","l10n_br_base.city_539"
cep_65913110,"l10n_br_base.br_ma","65913110","Laguna","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913240,"l10n_br_base.br_ma","65913240","Santa Cecília","Rua","Jardim Oriental","l10n_br_base.city_539"
cep_65913090,"l10n_br_base.br_ma","65913090","Antônio Guedes","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913080,"l10n_br_base.br_ma","65913080","Treze de Março","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913070,"l10n_br_base.br_ma","65913070","Henrique Dias","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913060,"l10n_br_base.br_ma","65913060","José Bonifácio","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913050,"l10n_br_base.br_ma","65913050","Tupinambá","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913040,"l10n_br_base.br_ma","65913040","Vinte e Cinco de Abril","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913030,"l10n_br_base.br_ma","65913030","Tamandaré","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913020,"l10n_br_base.br_ma","65913020","Monte Castelo","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913010,"l10n_br_base.br_ma","65913010","Benedito Leite","Rua","Jardim São Luís","l10n_br_base.city_539"
cep_65913000,"l10n_br_base.br_ma","65913000","Luís Domingues","Rua","Entroncamento","l10n_br_base.city_539"
